iter	Passed	Remaining
241	348	1091
242	349	1088
243	350	1084
244	351	1082
245	352	1080
246	353	1077
247	354	1073
248	355	1070
249	356	1068
250	356	1064
251	357	1061
252	358	1058
253	359	1055
254	360	1052
255	360	1049
256	361	1046
257	362	1043
258	363	1040
259	364	1037
260	365	1034
261	366	1031
262	367	1029
263	368	1026
264	369	1023
265	370	1021
266	370	1018
267	371	1015
268	372	1012
269	373	1009
270	374	1006
271	375	1004
272	376	1001
273	376	998
274	377	995
275	378	992
276	379	989
277	380	988
278	382	987
279	382	984
280	383	982
281	384	979
282	385	977
283	386	974
284	387	971
285	388	969
286	389	966
287	389	964
288	390	961
289	391	958
290	392	956
291	393	953
292	394	950
293	394	948
294	396	946
295	397	945
296	398	943
297	399	941
298	400	938
299	401	935
300	401	933
301	402	930
302	403	927
303	404	925
304	404	922
305	405	919
306	406	917
307	407	914
308	407	911
309	408	909
310	409	906
311	410	904
312	411	903
313	412	901
314	413	899
315	414	897
316	415	895
317	416	893
318	417	890
319	418	888
320	418	886
321	419	883
322	420	881
323	421	878
324	421	876
325	422	873
326	423	871
327	424	869
328	425	867
329	426	865
330	427	864
331	428	861
332	429	859
333	430	857
334	430	855
335	431	852
336	432	850
337	433	848
338	433	846
339	434	843
340	435	841
341	436	839
342	436	836
343	437	834
344	438	832
345	439	830
346	440	828
347	441	827
348	442	825
349	443	823
350	444	821
351	445	819
352	446	817
353	446	815
354	447	813
355	448	811
356	449	809
357	449	806
358	450	804
359	451	802
360	452	800
361	452	798
362	453	796
363	454	794
364	455	792
365	456	791
366	457	789
367	458	787
368	459	785
369	460	783
370	460	781
371	461	779
372	462	777
373	463	775
374	464	773
375	464	771
376	465	769
377	466	767
378	467	765
379	467	763
380	468	761
381	469	759
382	470	757
383	471	756
384	472	754
385	473	752
386	474	750
387	475	749
388	475	747
389	476	745
390	477	743
391	478	741
392	478	739
393	479	737
394	480	735
395	481	733
396	481	731
397	482	729
398	483	727
399	484	726
400	485	724
401	486	723
402	487	721
403	488	720
404	489	718
405	490	716
406	490	715
407	491	713
408	492	711
409	493	709
410	494	708
411	494	706
412	495	704
413	496	702
414	497	700
415	498	699
416	498	697
417	499	695
418	500	693
419	501	692
420	502	691
421	503	689
422	504	687
423	505	686
424	505	684
425	506	682
426	507	680
427	508	679
428	508	677
429	509	675
430	510	673
431	511	672
432	511	670
433	512	668
434	513	666
435	514	665
436	515	663
437	516	663
438	517	661
439	518	660
440	519	658
441	520	657
442	522	656
443	523	655
444	524	653
445	525	652
446	526	651
447	527	649
448	528	648
449	529	646
450	530	645
451	531	644
452	532	643
453	533	641
454	534	640
455	535	638
456	536	637
457	537	635
458	538	634
459	539	632
460	540	631
461	541	630
462	541	628
463	542	627
464	543	625
465	544	624
466	545	623
467	547	621
468	548	620
469	549	619
470	550	618
471	551	616
472	552	615
473	553	613
474	553	612
475	554	610
476	555	608
477	556	607
478	556	605
479	557	604
480	558	602
481	559	601
482	560	600
483	562	599
484	563	597
