iter	RMSE
279	4.523792965
280	4.521793075
281	4.521536875
282	4.519698054
283	4.516948173
284	4.513734433
285	4.513397438
286	4.510791321
287	4.508735241
288	4.503844607
289	4.50123345
290	4.495740546
291	4.495404574
292	4.49144369
293	4.489173312
294	4.485276215
295	4.484012144
296	4.482138058
297	4.478618067
298	4.475354527
299	4.470110473
300	4.465715974
301	4.461405758
302	4.459395893
303	4.453610146
304	4.451631543
305	4.448822229
306	4.445367997
307	4.444116081
308	4.443810748
309	4.440234633
310	4.437650028
311	4.435664243
312	4.428654397
313	4.426350703
314	4.423893649
315	4.421989473
316	4.419638724
317	4.417662113
318	4.414208262
319	4.410777947
320	4.407446153
321	4.405796586
322	4.402627891
323	4.399751679
324	4.398400068
325	4.398084727
326	4.395979201
327	4.393068849
328	4.388382639
329	4.386651391
330	4.382659618
331	4.380894463
332	4.38060904
333	4.375624156
334	4.373925451
335	4.370403937
336	4.368658926
337	4.361913059
338	4.359234099
339	4.355451055
340	4.34919351
341	4.344730593
342	4.341247909
343	4.34004235
344	4.334137884
345	4.33266935
346	4.327931741
347	4.324824513
348	4.323433356
349	4.32321237
350	4.320243872
351	4.315688286
352	4.310967652
353	4.308330679
354	4.306905852
355	4.303025041
356	4.300676928
357	4.300111727
358	4.293752044
359	4.291873121
360	4.290695891
361	4.287220722
362	4.28354682
363	4.283295637
364	4.277701192
365	4.275055063
366	4.274792654
367	4.273026667
368	4.267631971
369	4.263012965
370	4.260048549
371	4.257691787
372	4.256940511
373	4.254126048
374	4.252353928
375	4.251815451
376	4.250141706
377	4.247225262
378	4.245904958
379	4.244767106
380	4.242069556
381	4.236757469
382	4.235383203
383	4.231062646
384	4.228893889
385	4.228742879
386	4.226526233
387	4.2252765
388	4.225016215
389	4.224321186
390	4.222200553
391	4.220814758
392	4.215819996
393	4.212911414
394	4.211415703
395	4.209426193
396	4.20935543
397	4.209118293
398	4.204366601
399	4.201960295
400	4.19941648
401	4.198210192
402	4.197995141
403	4.194726985
404	4.189884387
405	4.184792724
406	4.183457865
407	4.181210361
408	4.176187801
409	4.169493103
410	4.165309048
411	4.163421017
412	4.161336551
413	4.160278726
414	4.155686993
415	4.1503374
416	4.144659693
417	4.14398436
418	4.141983834
419	4.137575245
420	4.134517694
421	4.132776017
422	4.129314229
423	4.127067457
424	4.124375359
425	4.118513969
426	4.114747449
427	4.114626261
428	4.111739579
429	4.109481106
430	4.106470439
431	4.101515136
432	4.099616327
433	4.096665133
434	4.096564057
435	4.096332738
436	4.09462332
437	4.089716128
438	4.08880568
439	4.086776404
440	4.0822007
441	4.077738615
442	4.075449138
443	4.072998626
444	4.071667911
445	4.067286679
446	4.066170272
447	4.063365101
448	4.059209753
449	4.056092584
450	4.055047443
451	4.053695732
452	4.051616425
453	4.048757125
454	4.046906199
455	4.042180266
456	4.042072999
457	4.039958818
458	4.03949259
459	4.036773514
460	4.035517376
461	4.030263774
462	4.028364635
463	4.028161732
464	4.026665805
465	4.026335571
466	4.024905113
467	4.021411725
468	4.018107878
469	4.016232493
470	4.013208681
471	4.008317057
472	4.008040341
473	4.005701909
474	4.002986002
475	3.999334322
476	3.995108941
477	3.99469266
478	3.991521423
479	3.990794733
480	3.988692813
481	3.986555645
482	3.985234936
483	3.983917138
484	3.982037563
485	3.980910109
486	3.976875762
487	3.974494738
488	3.973644694
489	3.973476401
490	3.968755599
491	3.967134702
492	3.966848613
493	3.965477788
494	3.963619992
495	3.959764051
496	3.959534528
497	3.956271074
498	3.952137262
499	3.949238678
500	3.946254818
501	3.945033229
502	3.943551902
503	3.938534568
504	3.936621548
505	3.931384154
506	3.930610694
507	3.928116206
508	3.926270516
509	3.924403519
510	3.922660568
511	3.918490456
512	3.915527737
513	3.910989352
514	3.909024186
515	3.906724093
516	3.90654253
517	3.90173542
518	3.897510041
519	3.895751768
520	3.891480631
521	3.890546334
522	3.890385333
523	3.889021819
524	3.887881861
525	3.886678599
526	3.884020222
527	3.88009171
528	3.878857994
529	3.87698606
530	3.873009
531	3.871157366
532	3.869200851
533	3.866207872
534	3.865540914
535	3.862288179
536	3.86049317
537	3.85621498
538	3.852389008
539	3.850082528
540	3.845028798
541	3.842245601
542	3.840950152
543	3.838320963
544	3.836863104
545	3.835838565
546	3.832834959
547	3.830302135
548	3.826861007
549	3.825806784
550	3.82330215
551	3.823181609
552	3.819252903
553	3.817510157
554	3.813448954
555	3.810391751
556	3.809493405
557	3.80618888
558	3.80127307
559	3.799576226
560	3.798218983
561	3.797602369
562	3.796608885
563	3.793568511
564	3.792008151
565	3.791650015
566	3.791476316
567	3.789328547
568	3.788842151
569	3.787901348
570	3.786563977
571	3.786182012
572	3.783881204
573	3.781856165
574	3.778617296
575	3.776634761
576	3.77477359
577	3.773719851
578	3.772677183
579	3.768103206
580	3.766876175
581	3.764474762
582	3.764218861
583	3.764153914
584	3.76259774
585	3.761906874
586	3.759824923
587	3.758223565
588	3.756481969
589	3.755735601
590	3.755248548
591	3.753922948
592	3.752809582
593	3.749872125
594	3.748469918
595	3.744723466
596	3.741720022
597	3.741294593
598	3.741176402
599	3.738584971
600	3.736373269
601	3.736075218
602	3.73287986
603	3.732179237
604	3.729131052
605	3.727858935
606	3.725789744
607	3.723460612
608	3.723099445
609	3.720972339
610	3.718988659
611	3.715198704
612	3.713773208
613	3.71205537
614	3.70961205
615	3.709336109
616	3.705007925
617	3.704053716
618	3.70187939
619	3.700575015
620	3.699212035
621	3.697603688
622	3.694736462
623	3.693002009
624	3.691309668
625	3.688449682
626	3.686421945
627	3.684976384
628	3.683913434
629	3.6805883
630	3.680534212
631	3.67617216
632	3.674906492
633	3.674548241
634	3.671432711
635	3.670700625
636	3.670194145
637	3.668919481
638	3.667810334
639	3.665953337
640	3.664080168
641	3.662113087
642	3.661844309
643	3.661494069
644	3.659218776
645	3.654890575
646	3.651324599
647	3.649505165
648	3.648096267
649	3.647790829
650	3.646403733
651	3.643031332
652	3.642363084
653	3.638350895
654	3.637360587
655	3.63597016
656	3.634843604
657	3.63346546
658	3.632176163
659	3.632029222
660	3.628441271
661	3.624833316
662	3.622564617
663	3.621157311
664	3.620094919
665	3.61933009
666	3.616324525
667	3.616219699
668	3.614004316
669	3.613037529
670	3.612994537
671	3.609621002
672	3.60946802
673	3.608912306
674	3.605229431
675	3.601559125
676	3.599650999
677	3.598285001
678	3.597774438
679	3.59672971
680	3.595057041
681	3.591776211
682	3.589582261
683	3.587423985
684	3.584434291
685	3.582196016
686	3.576783003
687	3.575491217
688	3.574518117
689	3.57429148
690	3.573126732
691	3.570134745
692	3.566239381
693	3.563041617
694	3.561084562
695	3.556947829
696	3.55617271
697	3.552322346
698	3.55176678
699	3.548896434
700	3.548632314
701	3.544511662
702	3.542752329
703	3.541080409
704	3.538578138
705	3.538168748
706	3.53494668
707	3.534198356
708	3.534085357
709	3.531089264
710	3.52839974
711	3.527390007
712	3.526874721
713	3.525286475
714	3.5233407
715	3.521111687
716	3.51870957
717	3.515200899
718	3.513846407
719	3.511192036
720	3.510907895
721	3.510380554
722	3.507418587
723	3.5045375
724	3.50155372
725	3.500863943
726	3.4975503
727	3.49511293
728	3.494498567
729	3.491058627
730	3.490199169
731	3.486778991
732	3.485614033
733	3.485190387
734	3.482370201
735	3.481851182
736	3.479085139
737	3.47778505
738	3.476988346
739	3.476374774
740	3.474133022
741	3.473493043
742	3.46987488
743	3.469462323
744	3.466987516
745	3.465501872
746	3.46401196
747	3.463059302
748	3.461323662
749	3.458473218
750	3.457224616
751	3.456198769
752	3.455027406
753	3.451151303
754	3.447890729
755	3.446035553
756	3.443436885
757	3.442298752
758	3.441473363
759	3.440870725
760	3.437779371
761	3.43608842
762	3.435644897
763	3.434901552
764	3.432937106
765	3.432666448
766	3.431952447
767	3.430183044
768	3.42911042
769	3.427163726
770	3.426482599
771	3.426325147
772	3.425512727
773	3.424707709
774	3.421700782
775	3.421655836
776	3.420867817
777	3.419942405
778	3.418268806
779	3.417417138
780	3.413774154
781	3.412448935
782	3.411144508
783	3.409932689
784	3.409889704
785	3.40910516
786	3.406825646
787	3.405836631
788	3.405738036
789	3.403117248
790	3.401392501
791	3.400492973
792	3.399764075
793	3.397888848
794	3.394900113
795	3.394260658
796	3.393577354
797	3.393246644
798	3.39266472
799	3.392624854
800	3.39044102
801	3.387544222
802	3.386060674
803	3.385550813
804	3.384596592
805	3.384276741
806	3.379369533
807	3.376830889
808	3.376237378
809	3.376019018
810	3.37427676
811	3.373428463
812	3.372836947
813	3.37124754
814	3.368144602
815	3.366047737
816	3.363546736
817	3.362292656
818	3.362155017
819	3.360853972
820	3.360494996
821	3.357366349
822	3.357133118
823	3.35281393
824	3.350157797
825	3.346169826
826	3.346005398
827	3.345518702
828	3.341646564
829	3.339532162
830	3.337155032
831	3.336064608
832	3.334439053
833	3.331904338
834	3.329072449
835	3.328491824
836	3.328018435
837	3.326196938
838	3.325987958
839	3.324645887
840	3.323244514
841	3.321525025
842	3.319870506
843	3.318125035
844	3.315725391
845	3.315179645
846	3.313620096
847	3.312717552
848	3.311236014
849	3.310798017
850	3.308269596
851	3.305255576
852	3.301783863
853	3.300756797
854	3.29902481
855	3.297401701
856	3.296524704
857	3.294378099
858	3.292703153
859	3.291208901
860	3.289641723
861	3.288317519
862	3.287267746
863	3.283818206
864	3.28374091
865	3.279974483
866	3.27819119
867	3.275220297
868	3.27462732
869	3.273500858
870	3.272665625
871	3.268608646
872	3.266711548
873	3.264708915
874	3.263978421
875	3.263812223
876	3.261302
877	3.260494288
878	3.259873244
879	3.257608868
880	3.256813419
881	3.254479546
882	3.25276622
883	3.250259156
884	3.249035927
885	3.248757445
886	3.248003021
887	3.247349535
888	3.24505372
889	3.24483382
890	3.242606529
891	3.24151015
892	3.241253861
893	3.239830625
894	3.236648883
895	3.23593943
896	3.232722345
897	3.232263921
898	3.229581329
899	3.226691524
900	3.224647043
901	3.222922358
902	3.222252438
903	3.218297313
904	3.218227944
905	3.218161905
906	3.217260795
907	3.214985001
908	3.214063243
909	3.212933571
910	3.209624767
911	3.207115085
912	3.206737442
913	3.204904178
914	3.20423339
915	3.202078104
916	3.20170684
917	3.200396369
918	3.199002859
919	3.198151331
920	3.195346027
921	3.193673485
922	3.191309811
923	3.189599028
924	3.186219402
925	3.186187003
926	3.184118373
927	3.18273161
928	3.181726514
929	3.178254199
930	3.176742412
931	3.173971402
932	3.172664208
933	3.172292196
934	3.171186536
935	3.167950247
936	3.167148786
937	3.166863334
938	3.164300994
939	3.161484114
940	3.160088571
941	3.158532933
942	3.156295231
943	3.153570622
944	3.150370648
945	3.150148356
946	3.149167529
947	3.147753612
948	3.145480886
949	3.14492748
950	3.144068597
951	3.141843675
952	3.140428173
953	3.138258233
954	3.137210115
955	3.135009365
956	3.133564837
957	3.131581731
958	3.129483082
959	3.128090106
960	3.127607888
961	3.12615532
962	3.12504781
963	3.123983487
964	3.122417403
965	3.122361487
966	3.121731346
967	3.121013484
968	3.120626398
969	3.117067936
970	3.115505159
971	3.113766686
972	3.113093591
973	3.110291799
974	3.109311481
975	3.108715088
976	3.10846464
977	3.107800688
978	3.107215518
979	3.104856048
980	3.104362362
981	3.103592648
982	3.10287567
983	3.102052845
984	3.101405894
985	3.098725111
986	3.098681911
987	3.098117134
988	3.095627162
989	3.093801877
990	3.091516941
991	3.091076195
992	3.090428072
993	3.087063637
994	3.086933191
995	3.086361983
996	3.085471585
997	3.084757408
998	3.082231386
999	3.082080767
